TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19810822,25.945,24.362,2.103,27.528,3.0,217.529,400.983,4.948,98.761,1.037,0.932
19810823,25.888,24.702,1.241,26.979,2.256,168.246,408.412,4.48,98.792,3.907,1.031
19810824,25.273,23.928,1.415,26.509,2.56,161.871,414.845,3.372,98.831,8.556,0.639
19810825,24.631,23.536,1.02,25.639,1.962,129.969,417.407,1.956,98.877,10.37,0.833
19810826,24.759,23.773,1.137,25.666,2.257,144.893,413.619,2.481,98.885,7.27,0.729
19810827,25.387,23.912,1.427,26.743,2.287,161.406,412.003,3.854,98.902,6.175,1.064
19810828,24.907,23.551,0.934,26.154,2.37,167.92,410.06,3.161,98.884,5.01,1.086
19810829,25.837,24.328,1.807,27.226,3.026,190.755,411.192,4.531,98.73,1.026,1.105
19810830,25.314,23.635,0.876,26.859,2.951,172.365,411.969,3.811,98.736,9.636,1.148
19810831,23.174,22.624,0.572,23.68,1.227,99.134,417.11,0.903,98.976,15.225,1.222
19810901,24.157,22.873,1.623,25.338,2.306,162.607,409.391,2.191,98.945,9.887,1.167
19810902,24.845,23.432,1.555,26.144,3.073,189.188,411.578,3.789,98.881,0.94,0.772
19810903,25.72,24.383,2.084,26.951,2.777,191.442,411.038,4.083,98.869,2.944,0.878
19810904,24.449,23.65,1.083,25.184,1.734,145.806,412.804,2.318,98.932,9.713,1.248
19810905,23.986,22.85,0.723,25.032,1.687,131.495,411.458,2.346,98.958,9.034,0.942
19810906,24.45,23.132,1.312,25.661,2.118,172.662,410.733,3.523,98.909,6.81,0.746
19810907,25.226,23.665,1.435,26.662,2.857,168.767,415.108,4.006,98.923,5.501,0.862
19810908,25.273,23.507,1.434,26.898,3.134,199.859,409.865,3.988,98.833,5.213,0.725
19810909,25.898,24.042,1.491,27.606,3.1,187.09,418.011,5.17,98.786,5.9,0.724
19810910,25.327,23.385,0.861,27.114,2.705,184.763,416.76,3.475,98.781,7.314,0.853
19810911,25.529,23.892,1.381,27.036,2.951,186.818,422.539,4.734,98.821,2.514,1.072
19810912,25.744,24.052,1.511,27.301,2.787,190.715,408.285,4.445,98.664,4.579,1.044
19810913,26.07,24.401,1.384,27.605,2.664,183.699,409.615,4.573,98.627,7.221,1.585
19810914,24.631,23.979,0.553,25.231,1.947,153.382,414.646,2.247,98.824,10.533,0.782
19810915,24.129,23.232,0.628,24.954,1.877,112.422,422.357,2.341,99.046,17.789,1.262
19810916,23.454,22.598,0.824,24.242,1.765,120.055,419.376,2.186,99.132,7.8,1.194
19810917,24.345,22.976,1.784,25.604,2.765,185.815,409.05,3.322,99.089,7.104,0.502
19810918,25.069,23.661,1.461,26.365,2.971,190.546,409.997,4.03,99.027,8.015,0.655
19810919,26.011,24.129,1.363,27.742,3.159,206.333,413.233,5.188,98.893,1.023,0.875
19810920,25.426,24.105,1.192,26.64,1.842,158.518,414.268,3.473,98.864,11.156,0.887
19810921,25.26,23.747,1.289,26.652,1.952,174.833,411.858,3.225,98.894,9.322,0.61
19810922,24.734,24.011,1.333,25.399,1.962,180.99,417.034,2.933,99.0,2.071,0.805
19810923,25.038,23.842,1.266,26.138,1.984,162.797,406.69,3.278,99.138,10.935,1.38
